Well 	Sample 	Primer
A01	control_sample	control_primer
A02	control_sample	control_primer
A03	control_sample	control_primer
A04	control_sample	control_primer
A05	sample_of_interest1	control_primer
A06	sample_of_interest1	control_primer
A07	sample_of_interest1	control_primer
A08	sample_of_interest1	control_primer
A09	sample_of_interest2	control_primer
A10	sample_of_interest2	control_primer
A11	sample_of_interest2	control_primer
A12	sample_of_interest2	control_primer
B01	sample_of_interest3	control_primer
B02	sample_of_interest3	control_primer
B03	sample_of_interest3	control_primer
B04	sample_of_interest3	control_primer
B05	sample_of_interest4	control_primer
B06	sample_of_interest4	control_primer
B07	sample_of_interest4	control_primer
B08	sample_of_interest4	control_primer
B09	sample_of_interest5	control_primer
B10	sample_of_interest5	control_primer
B11	sample_of_interest5	control_primer
B12	sample_of_interest5	control_primer
C01	sample_of_interest6	control_primer
C02	sample_of_interest6	control_primer
C03	sample_of_interest6	control_primer
C04	sample_of_interest6	control_primer
C05	sample_of_interest7	control_primer
C06	sample_of_interest7	control_primer
C07	sample_of_interest7	control_primer
C08	sample_of_interest7	control_primer
C09	sample_of_interest8	control_primer
C10	sample_of_interest8	control_primer
C11	sample_of_interest8	control_primer
C12	sample_of_interest8	control_primer
D01	sample_of_interest9	control_primer
D02	sample_of_interest9	control_primer
D03	sample_of_interest9	control_primer
D04	sample_of_interest9	control_primer
D05	blank	blank
D06	blank	blank
D07	blank	blank
D08	blank	blank
D09	blank	blank
D10	blank	blank
D11	blank	blank
D12	blank	blank
E01	control_sample	primer_of_interest
E02	control_sample	primer_of_interest
E03	control_sample	primer_of_interest
E04	control_sample	primer_of_interest
E05	sample_of_interest1	primer_of_interest
E06	sample_of_interest1	primer_of_interest
E07	sample_of_interest1	primer_of_interest
E08	sample_of_interest1	primer_of_interest
E09	sample_of_interest2	primer_of_interest
E10	sample_of_interest2	primer_of_interest
E11	sample_of_interest2	primer_of_interest
E12	sample_of_interest2	primer_of_interest
F01	sample_of_interest3	primer_of_interest
F02	sample_of_interest3	primer_of_interest
F03	sample_of_interest3	primer_of_interest
F04	sample_of_interest3	primer_of_interest
F05	sample_of_interest4	primer_of_interest
F06	sample_of_interest4	primer_of_interest
F07	sample_of_interest4	primer_of_interest
F08	sample_of_interest4	primer_of_interest
F09	sample_of_interest5	primer_of_interest
F10	sample_of_interest5	primer_of_interest
F11	sample_of_interest5	primer_of_interest
F12	sample_of_interest5	primer_of_interest
G01	sample_of_interest6	primer_of_interest
G02	sample_of_interest6	primer_of_interest
G03	sample_of_interest6	primer_of_interest
G04	sample_of_interest6	primer_of_interest
G05	sample_of_interest7	primer_of_interest
G06	sample_of_interest7	primer_of_interest
G07	sample_of_interest7	primer_of_interest
G08	sample_of_interest7	primer_of_interest
G09	sample_of_interest8	primer_of_interest
G10	sample_of_interest8	primer_of_interest
G11	sample_of_interest8	primer_of_interest
G12	sample_of_interest8	primer_of_interest
H01	sample_of_interest9	primer_of_interest
H02	sample_of_interest9	primer_of_interest
H03	sample_of_interest9	primer_of_interest
H04	sample_of_interest9	primer_of_interest
H05	blank	blank
H06	blank	blank
H07	blank	blank
H08	blank	blank
H09	blank	blank
H10	blank	blank
H11	blank	blank
H12	blank	blank
