"CT"	"Sample"	"Primer"
28.08246463	"control_sample1"	"control_primer"
27.7393381	"control_sample1"	"control_primer"
28.05786656	"control_sample1"	"control_primer"
28.00754504	"control_sample1"	"control_primer"
18.16275606	"sample_of_interest1"	"control_primer"
18.16462996	"sample_of_interest1"	"control_primer"
18.21398245	"sample_of_interest1"	"control_primer"
18.20358175	"sample_of_interest1"	"control_primer"
18.33877277	"sample_of_interest2"	"control_primer"
18.34735008	"sample_of_interest2"	"control_primer"
18.33577264	"sample_of_interest2"	"control_primer"
18.49512002	"sample_of_interest2"	"control_primer"
17.65223804	"sample_of_interest3"	"control_primer"
17.96487943	"sample_of_interest3"	"control_primer"
17.65535219	"sample_of_interest3"	"control_primer"
17.6695678	"sample_of_interest3"	"control_primer"
18.11245711	"sample_of_interest4"	"control_primer"
18.06525175	"sample_of_interest4"	"control_primer"
18.11486356	"sample_of_interest4"	"control_primer"
18.06657253	"sample_of_interest4"	"control_primer"
17.08861979	"sample_of_interest5"	"control_primer"
16.71384194	"sample_of_interest5"	"control_primer"
16.68654696	"sample_of_interest5"	"control_primer"
16.71118834	"sample_of_interest5"	"control_primer"
15.78763445	"control_sample1"	"primer_of_interest1"
15.94363138	"control_sample1"	"primer_of_interest1"
16.02007398	"control_sample1"	"primer_of_interest1"
16.02974108	"control_sample1"	"primer_of_interest1"
17.04029569	"sample_of_interest1"	"primer_of_interest1"
17.03166483	"sample_of_interest1"	"primer_of_interest1"
17.09491905	"sample_of_interest1"	"primer_of_interest1"
17.02406464	"sample_of_interest1"	"primer_of_interest1"
15.42921657	"sample_of_interest2"	"primer_of_interest1"
15.30909816	"sample_of_interest2"	"primer_of_interest1"
15.32259247	"sample_of_interest2"	"primer_of_interest1"
15.3887867	"sample_of_interest2"	"primer_of_interest1"
16.43375611	"sample_of_interest3"	"primer_of_interest1"
16.4451328	"sample_of_interest3"	"primer_of_interest1"
16.43733299	"sample_of_interest3"	"primer_of_interest1"
16.4484362	"sample_of_interest3"	"primer_of_interest1"
19.72611864	"sample_of_interest4"	"primer_of_interest1"
19.71956948	"sample_of_interest4"	"primer_of_interest1"
19.68259025	"sample_of_interest4"	"primer_of_interest1"
19.81327273	"sample_of_interest4"	"primer_of_interest1"
19.91547687	"sample_of_interest5"	"primer_of_interest1"
19.79434527	"sample_of_interest5"	"primer_of_interest1"
19.77389799	"sample_of_interest5"	"primer_of_interest1"
19.83184246	"sample_of_interest5"	"primer_of_interest1"
19.55315485	"control_sample1"	"primer_of_interest2"
19.55144371	"control_sample1"	"primer_of_interest2"
19.46202701	"control_sample1"	"primer_of_interest2"
19.55443873	"control_sample1"	"primer_of_interest2"
18.23308246	"sample_of_interest1"	"primer_of_interest2"
18.2230909	"sample_of_interest1"	"primer_of_interest2"
18.21968175	"sample_of_interest1"	"primer_of_interest2"
18.19010752	"sample_of_interest1"	"primer_of_interest2"
19.38459748	"sample_of_interest2"	"primer_of_interest2"
19.49402802	"sample_of_interest2"	"primer_of_interest2"
19.45016561	"sample_of_interest2"	"primer_of_interest2"
19.32600092	"sample_of_interest2"	"primer_of_interest2"
15.06812566	"sample_of_interest3"	"primer_of_interest2"
15.18472041	"sample_of_interest3"	"primer_of_interest2"
15.28321108	"sample_of_interest3"	"primer_of_interest2"
15.23642592	"sample_of_interest3"	"primer_of_interest2"
16.95470172	"sample_of_interest4"	"primer_of_interest2"
15.37633155	"sample_of_interest4"	"primer_of_interest2"
15.36902809	"sample_of_interest4"	"primer_of_interest2"
15.35471935	"sample_of_interest4"	"primer_of_interest2"
15.42834299	"sample_of_interest5"	"primer_of_interest2"
15.43258879	"sample_of_interest5"	"primer_of_interest2"
15.17932203	"sample_of_interest5"	"primer_of_interest2"
15.18433074	"sample_of_interest5"	"primer_of_interest2"
20.24351981	"control_sample1"	"primer_of_interest3"
20.16585944	"control_sample1"	"primer_of_interest3"
20.16048921	"control_sample1"	"primer_of_interest3"
20.12965792	"control_sample1"	"primer_of_interest3"
15.16713347	"sample_of_interest1"	"primer_of_interest3"
16.23219568	"sample_of_interest1"	"primer_of_interest3"
16.20046257	"sample_of_interest1"	"primer_of_interest3"
16.22595138	"sample_of_interest1"	"primer_of_interest3"
16.39772109	"sample_of_interest2"	"primer_of_interest3"
16.3945477	"sample_of_interest2"	"primer_of_interest3"
16.35769261	"sample_of_interest2"	"primer_of_interest3"
16.36566435	"sample_of_interest2"	"primer_of_interest3"
16.78472516	"sample_of_interest3"	"primer_of_interest3"
16.66085418	"sample_of_interest3"	"primer_of_interest3"
16.69292249	"sample_of_interest3"	"primer_of_interest3"
16.84473877	"sample_of_interest3"	"primer_of_interest3"
16.78848505	"sample_of_interest4"	"primer_of_interest3"
16.65179106	"sample_of_interest4"	"primer_of_interest3"
16.66196023	"sample_of_interest4"	"primer_of_interest3"
16.64838268	"sample_of_interest4"	"primer_of_interest3"
15.67625277	"sample_of_interest5"	"primer_of_interest3"
15.65537007	"sample_of_interest5"	"primer_of_interest3"
15.65721353	"sample_of_interest5"	"primer_of_interest3"
15.95460715	"sample_of_interest5"	"primer_of_interest3"
